"Record ID","Company name","Company Domain Name"
"7930615731","groopit.co","groopit.co"
"7594187812","MindGenius","mindgenius.com"
"7325281561","Openprise","openprisetech.com"
"7813976760","Anvilogic","anvilogic.com"
"15134073482","Endor Labs Inc","endorlabs.com"
"18408777267","MinuteBox","minutebox.com"
"7794625684","MangoApp Inc","mangoapps.com"
"8442115900","Click Boarding","clickboarding.com"
"15134000541","Tallyfor LLC","tallyfor.com"
"6049285381","Coder","coder.com"
"8742035719","Conserv","conserv.io"
"22028108650","RollForward Accounting","rollforward.io"
"18334282578","Advarra","advarra.com"
"9578014332","Seatti","seatti.co"
"8407692089","PASTPERFECT SOFTWARE","museumsoftware.com"
"8742050056","Insycle","insycle.com"
"10353448964","PawLoyalty","pawloyalty.com"
"8742103567","Reptrics","reptrics.com"
"6912084834","Airtable","airtable.com"
"18751737898","Resource Dynamics","resource-dynamics.com"
"8741827758","Subscript","subscript.com"
"15133940140","Berkman Solutions","berkmansolutions.com"
"18408689048","in1touch","in1touch.com"
"21467214637","SonarSource","sonarsource.com"
"7700589144","Robin","robinpowered.com"
"10353085489","SearchBlox","searchblox.com"
"8442553747","AbstractOps","abstractops.com"
"5897461026","Glue Up","glueup.com"
"7339672400","BlueOptima","blueoptima.com"
"7930208540","LottieFiles","lottiefiles.com"
"8442233218","Peoplebox","peoplebox.ai"
"22594419597","SpamHitman","spamhitman.com"
"4759916417","Waydev","waydev.co"
"23409010298","QuantAQ","quant-aq.com"
"8442594433","ShortPoint","shortpoint.com"
"15133979706","PlanSwift by ConstructConnect","planswift.com"
"9126513985","Novi AMS","noviams.com"
"18829436014","Metering Technology Solutions","meter.co.uk"
"26321817688","Integrately","integrately.com"
"8442568716","Allstacks","allstacks.com"
"15831407129","Luna Imaging,","lunaimaging.com"
"14983463853","Egnyte","egnyte.com"
"15133876147","Boxxstep","boxxstep.com"
"7341116718","User Interviews Inc","userinterviews.com"
"8742046800","Motivosity","motivosity.com"
"6258852168","NetSuite","netsuite.com"
"8742099540","Humantic AI","humantic.ai"
"15134036299","Kardin Systems","kardin.com"
"8442189688","Oculu Video Platform","oculu.com"
"18334339072","Equals Money","equalsmoney.com"
"7800121889","Crystal Project Inc.","crystalknows.com"
"8442174588","Cloudingo","cloudingo.com"
"8442527867","Align","aligntoday.com"
"6323087790","Payhawk","payhawk.com"
"8798499617","Cyscale Cloud Security","cyscale.com"
"4956517536","NodeRabbit Inc.","appsembler.com"
"8002230838","Hone","honehq.com"
"18408857365","NEW RISSOFT 2020","rissoft.com"
"22673524132","15Five","15five.com"
"18829558020","Cyber-Path Integrated IT Solutions","cyber-path.net"
"7164342611","ActiveNav","activenav.com"
"7454527623","ContractZen","contractzen.com"
"9126482095","Playbookux","playbookux.com"
"18334487169","Ionic","ionic.io"
"5997338273","SurveySparrow","surveysparrow.com"
"9126720167","RecDesk","recdesk.com"
"10865561981","GrowthZone","growthzone.com"
"8742024049","Autocase","autocase.com"
"21306166677","safepassme","safepass.me"
"7505761799","LinearB","linearb.io"
"18923804446","Bunifu Framework","bunifuframework.com"
"21448996249","Kondukto","kondukto.io"
"22673558942","Bonusly","bonusly.com"
"18829583289","Involv Intranet","involv-intranet.com"
"7497957250","Ingeniux","ingeniux.com"
"18334278048","FundCount Group Ltd","fundcount.com"
"7657929090","Unito","unito.io"
"15133940351","Artsystems Inc","artsystems.com"
"15133972606","Mangopractice","mangopractice.com"
"15831325801","Bluebeam Inc","bluebeam.com"
"18828899768","CultureAlly","cultureally.com"
"4990123030","Avatier","avatier.com"
"7246089119","Mooncamp","mooncamp.com"
"18537249563","Eptura","eptura.com"
"15829295110","OvalEdge","ovaledge.com"
"8742005865","Filejet","filejet.com"
"6049281132","Tuono","cloudtruth.com"
"15831197794","AMC Technology","amctechnology.com"
"18334532008","SimpleRisk","simplerisk.com"
